EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Montage und Lieferung Fronius Wallbox Wattpilot Flex Home & Pro;;
Untertitel;…ohne MID-Zähler;;
Beschreibung_fett;Materialien:;;
;- Fronius Wallbox Home;;
;- Leitungen und Verlegesystem;;
;- Klein- und Sicherungsmaterial;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wallbox;;
;- Leitungsverlegung zum Standort der Wallbox bis max. 20 m (Aufputz);;
;- Inbetriebnahme;;
;;;
;11,0 kW Wattpilot Home 11 C6;€/Stk.;1482,21
;22,0 kW Wattpilot Home 22 C6;€/Stk.;1547,27
;;;
Untertitel;…mit MID-Zähler;;
Beschreibung_fett;Materialien:;;
;- Fronius Wallbox Pro;;
;- Leitungen und Verlegesystem;;
;- Klein- und Sicherungsmaterial;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wallbox;;
;- Leitungsverlegung zum Standort der Wallbox bis max. 20 m (Aufputz);;
;- Inbetriebnahme;;
;;;
;11,0 kW Wattpilot Pro 11 C6E;€/Stk.;1653,93
;22,0 kW Wattpilot Pro 22 C6E;€/Stk.;1682,8
