EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;;;
Titel;Anmeldung Wärmepumpe;;
Beschreibung_fett;Leistungen:;;
;- Erledigung aller notwendigen Anträge und Anmeldungen mit dem Energieversorger;;
;;;
;Anmeldung Wärmepumpe;€ pauschal;99
;;;
Titel;Anmeldung der PV-Anlage bis 29,99 kWp;;
Beschreibung_fett;Leistungen:;;
;- Erledigung aller notwendigen Anträge und Anmeldungen mit dem Energieversorger bis 29,99 kWp;;
Beschreibung_fett;Nicht enthalten:;;
;- Registrierung im Marktstammdatenregister;;
;;;
;Anmeldung der PV-Anlage bis 29,99 kWp;€ pauschal;350
;;;
Titel;Registrierung im Marktstammdatenregister;;
Beschreibung_fett;Leistungen:;;
;- Registrierung der PV-Anlage und des Batteriespeichers im Marktstammdatenregister;;
;;;
;Registrierung im Marktstammdatenregister;€ pauschal;149
